name,type,value,date
贵阳,NULL,1121.82 ,2010年
六盘水,NULL,500.63 ,2010年
遵义,NULL,908.76 ,2010年
黔西南州,NULL,307.13 ,2010年
黔南州,NULL,356.68 ,2010年
安顺,NULL,232.90 ,2010年
铜仁,NULL,293.62 ,2010年
黔东南州,NULL,312.57 ,2010年
毕节,NULL,600.85 ,2010年
贵阳,NULL,1383.07 ,2011年
六盘水,NULL,613.86 ,2011年
遵义,NULL,1121.46 ,2011年
黔西南州,NULL,375.48 ,2011年
黔南州,NULL,443.59 ,2011年
安顺,NULL,285.64 ,2011年
铜仁,NULL,357.96 ,2011年
黔东南州,NULL,383.63 ,2011年
毕节,NULL,737.88 ,2011年
贵阳,NULL,1710.30 ,2012年
六盘水,NULL,753.65 ,2012年
遵义,NULL,1361.93 ,2012年
黔西南州,NULL,477.43 ,2012年
黔南州,NULL,550.34 ,2012年
安顺,NULL,367.62 ,2012年
铜仁,NULL,457.91 ,2012年
黔东南州,NULL,495.75 ,2012年
毕节,NULL,884.96 ,2012年
贵阳,NULL,2085.00 ,2013年
六盘水,NULL,876.95 ,2013年
遵义,NULL,1584.70 ,2013年
黔西南州,NULL,558.91 ,2013年
黔南州,NULL,642.61 ,2013年
安顺,NULL,427.85 ,2013年
铜仁,NULL,534.10 ,2013年
黔东南州,NULL,584.64 ,2013年
毕节,NULL,1041.93 ,2013年
贵阳,NULL,2497.27 ,2014年
六盘水,NULL,1042.73 ,2014年
遵义,NULL,1874.50 ,2014年
黔西南州,NULL,667.86 ,2014年
黔南州,NULL,795.50 ,2014年
安顺,NULL,516.26 ,2014年
铜仁,NULL,647.70 ,2014年
黔东南州,NULL,700.76 ,2014年
毕节,NULL,1265.20 ,2014年
贵阳,NULL,2891.16 ,2015年
六盘水,NULL,1201.08 ,2015年
遵义,NULL,2168.34 ,2015年
黔西南州,NULL,801.65 ,2015年
黔南州,NULL,902.91 ,2015年
安顺,NULL,625.41 ,2015年
铜仁,NULL,770.89 ,2015年
黔东南州,NULL,811.55 ,2015年
毕节,NULL,1461.35 ,2015年
贵阳,NULL,3157.70 ,2016年
六盘水,NULL,1313.70 ,2016年
遵义,NULL,2403.94 ,2016年
黔西南州,NULL,929.14 ,2016年
黔南州,NULL,1023.39 ,2016年
安顺,NULL,701.35 ,2016年
铜仁,NULL,856.97 ,2016年
黔东南州,NULL,939.05 ,2016年
毕节,NULL,1625.79 ,2016年
贵阳,NULL,3537.96 ,2017年
六盘水,NULL,1461.71 ,2017年
遵义,NULL,2748.59 ,2017年
黔西南州,NULL,1067.60 ,2017年
黔南州,NULL,1160.59 ,2017年
安顺,NULL,802.46 ,2017年
铜仁,NULL,969.86 ,2017年
黔东南州,NULL,972.18 ,2017年
毕节,NULL,1841.61 ,2017年
